elo_home,elo_away,form_home_5,form_away_5,gf_home_5,ga_home_5,gf_away_5,ga_away_5,attack_home,defense_home,attack_away,defense_away,avg_shots_home_5,avg_shots_away_5,avg_sot_home_5,avg_sot_away_5,avg_corners_home_5,avg_corners_away_5,avg_yellow_home_5,avg_yellow_away_5,avg_red_home_5,avg_red_away_5,target
1499.71225631668,1510.0,3.0,3.0,0.5,0.5,3.0,0.0,0.5,0.5,3.0,0.0,,,,,,,,,,,0
1508.8664744330497,1508.1095991376728,6.0,7.5,1.6666666666666667,1.0,1.5,0.5,1.6666666666666667,1.0,1.5,0.5,,,,,,,,,,,0
1490.5750112778453,1512.067914370924,1.5,10.5,1.0,1.5,2.2,1.4,1.0,1.5,2.2,1.4,,,,,,,,,,,0
1519.4249887221547,1499.7039814439618,6.0,3.0,2.5,1.5,1.5,0.5,2.5,1.5,1.5,0.5,,,,,,,,,,,0
1518.8446898453556,1480.5195038663874,9.0,0.0,1.75,1.0,0.5,2.0,1.75,1.0,0.5,2.0,,,,,,,,,,,0
1500.0,1500.2797064113497,0.0,3.0,0.0,0.0,2.0,1.5,0.0,0.0,2.0,1.5,,,,,,,,,,,1
1520.0,1480.5750112778453,6.0,0.0,1.0,0.0,0.5,2.5,1.0,0.0,0.5,2.5,,,,,,,,,,,0
1528.857981317772,1490.0,9.0,0.0,3.333333333333333,2.0,0.0,1.0,3.333333333333333,2.0,0.0,1.0,,,,,,,,,,,0
1500.0,1490.0,1.5,0.0,0.0,0.0,1.0,3.0,0.0,0.0,1.0,3.0,,,,,,,,,,,2
1510.0,1509.71225631668,3.0,3.0,3.0,1.0,1.0,0.0,3.0,1.0,1.0,0.0,,,,,,,,,,,1
1499.7205382437342,1520.0,3.0,6.0,2.0,2.0,2.0,0.5,2.0,2.0,2.0,0.5,,,,,,,,,,,0
1471.6181389295382,1508.605488224384,0.0,6.0,0.3333333333333333,2.0,1.6666666666666667,1.6666666666666667,0.3333333333333333,2.0,1.6666666666666667,1.6666666666666667,,,,,,,,,,,0
1500.0,1501.192838845809,0.0,4.5,0.0,0.0,1.3333333333333333,1.0,0.0,0.0,1.3333333333333333,1.0,,,,,,,,,,,1
1510.3035661099482,1489.4408251724506,6.0,3.0,2.0,1.3333333333333333,0.3333333333333333,1.6666666666666667,2.0,1.3333333333333333,0.3333333333333333,1.6666666666666667,,,,,,,,,,,2
1499.7039814439618,1500.2634005110806,3.0,4.5,2.5,1.5,1.3333333333333333,1.0,2.5,1.5,1.3333333333333333,1.0,,,,,,,,,,,2
1528.8701031196488,1519.4249887221547,9.0,6.0,1.0,0.0,2.0,0.5,1.0,0.0,2.0,0.5,,,,,,,,,,,2
1499.43278790048,1480.000237972949,4.5,1.5,2.0,2.6666666666666665,1.0,2.6666666666666665,2.0,2.6666666666666665,1.0,2.6666666666666665,,,,,,,,,,,0
1500.0,1509.71225631668,3.0,4.5,1.0,1.0,1.5,1.0,1.0,1.0,1.5,1.0,,,,,,,,,,,0
1471.7049081581963,1490.0,0.0,0.0,0.3333333333333333,2.0,0.0,1.0,0.3333333333333333,2.0,0.0,1.0,,,,,,,,,,,1
1500.28774368332,1500.0,3.0,0.0,1.0,1.5,0.0,0.0,1.0,1.5,0.0,0.0,,,,,,,,,,,1
1491.141543861087,1509.14549997581,3.0,4.5,0.0,0.3333333333333333,1.5,0.5,0.0,0.3333333333333333,1.5,0.5,,,,,,,,,,,0
1501.1585063188966,1510.0082748727182,6.0,6.0,1.25,1.0,1.3333333333333333,1.3333333333333333,1.25,1.0,1.3333333333333333,1.3333333333333333,,,,,,,,,,,1
1510.0,1480.0,3.0,0.0,1.0,0.0,1.0,2.5,1.0,0.0,1.0,2.5,,,,,,,,,,,0
1489.4739110870016,1500.0082819270542,1.5,1.5,1.0,1.5,1.0,1.0,1.0,1.5,1.0,1.0,,,,,,,,,,,0
